epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9111,1.26402,1.45588,1.15257,0.92892,0.86328,0.90187,0.57289,1.28614,0.85188,1.21167,0.000665158,0.000665158,0.000665158
2,146.797,1.26042,0.85524,1.16341,0.92903,0.85276,0.89941,0.5879,1.23993,0.84523,1.18884,0.00130545,0.00130545,0.00130545
3,216.926,1.2624,0.77674,1.16533,0.94249,0.86601,0.92065,0.59829,1.24782,0.71057,1.17438,0.00191935,0.00191935,0.00191935
4,285.101,1.22756,0.72831,1.14399,0.94996,0.8735,0.92646,0.61523,1.22631,0.69529,1.1646,0.0018812,0.0018812,0.0018812
5,354.202,1.22147,0.69373,1.13921,0.95923,0.88958,0.94088,0.62142,1.17583,0.643,1.12333,0.0018416,0.0018416,0.0018416
6,438.569,1.21074,0.66454,1.13091,0.95452,0.90478,0.93543,0.61325,1.21508,0.59943,1.13895,0.001802,0.001802,0.001802
7,522.266,1.18669,0.63727,1.11678,0.97457,0.90774,0.95327,0.64759,1.16959,0.55699,1.11201,0.0017624,0.0017624,0.0017624
8,607.678,1.17764,0.62616,1.11349,0.9693,0.91344,0.94964,0.63604,1.17601,0.56676,1.13319,0.0017228,0.0017228,0.0017228
9,693.129,1.16376,0.6115,1.10375,0.97541,0.92164,0.95469,0.64733,1.15719,0.53974,1.10212,0.0016832,0.0016832,0.0016832
10,776.614,1.15187,0.59921,1.10276,0.97156,0.918,0.95428,0.64233,1.18708,0.53552,1.12005,0.0016436,0.0016436,0.0016436
11,860.46,1.15162,0.59627,1.09418,0.96819,0.91517,0.95572,0.64768,1.16061,0.55057,1.10801,0.001604,0.001604,0.001604
12,944.644,1.1427,0.57539,1.09491,0.97434,0.9342,0.96088,0.66687,1.13689,0.50753,1.09772,0.0015644,0.0015644,0.0015644
13,1028.79,1.12602,0.56674,1.08453,0.9745,0.92392,0.95794,0.65561,1.13023,0.51806,1.09929,0.0015248,0.0015248,0.0015248
14,1112.68,1.12996,0.55987,1.08656,0.97639,0.92756,0.96022,0.67455,1.12473,0.49579,1.08778,0.0014852,0.0014852,0.0014852
15,1196.43,1.12454,0.55226,1.08351,0.98158,0.92574,0.96237,0.66415,1.11955,0.49638,1.08062,0.0014456,0.0014456,0.0014456
16,1280.2,1.11354,0.54225,1.0756,0.97254,0.93568,0.96429,0.67186,1.10805,0.48919,1.07448,0.001406,0.001406,0.001406
17,1363.78,1.10358,0.52644,1.0674,0.98406,0.92816,0.96519,0.67728,1.11445,0.47483,1.07996,0.0013664,0.0013664,0.0013664
18,1433.18,1.10508,0.52986,1.07281,0.98414,0.93276,0.96843,0.68495,1.09789,0.47813,1.06536,0.0013268,0.0013268,0.0013268
19,1503.23,1.10472,0.52284,1.06965,0.98392,0.92802,0.96442,0.67664,1.11336,0.49244,1.07784,0.0012872,0.0012872,0.0012872
20,1573.32,1.09432,0.51823,1.07063,0.98008,0.94161,0.9661,0.6757,1.10381,0.46657,1.07623,0.0012476,0.0012476,0.0012476
21,1641.8,1.09682,0.51745,1.06616,0.98188,0.93798,0.96886,0.68457,1.10158,0.45134,1.0718,0.001208,0.001208,0.001208
22,1711.05,1.09252,0.51192,1.06337,0.97792,0.92847,0.96497,0.68911,1.08272,0.44655,1.06392,0.0011684,0.0011684,0.0011684
23,1780.53,1.07801,0.504,1.05684,0.9813,0.93349,0.96716,0.68724,1.08475,0.44227,1.059,0.0011288,0.0011288,0.0011288
24,1851.05,1.08094,0.50053,1.06302,0.97962,0.9385,0.96956,0.69491,1.08514,0.43773,1.05953,0.0010892,0.0010892,0.0010892
25,1920.14,1.07421,0.48562,1.05388,0.97994,0.93394,0.96737,0.69541,1.09013,0.43523,1.06118,0.0010496,0.0010496,0.0010496
26,1988.77,1.07064,0.49106,1.05195,0.97659,0.93531,0.96835,0.68859,1.09495,0.44158,1.06229,0.00101,0.00101,0.00101
27,2058.49,1.06223,0.48366,1.05019,0.98558,0.93427,0.96739,0.69276,1.08129,0.44394,1.05997,0.0009704,0.0009704,0.0009704
28,2127.54,1.06871,0.48392,1.05152,0.97952,0.93895,0.97,0.70264,1.0698,0.42823,1.05679,0.0009308,0.0009308,0.0009308
29,2196.05,1.06226,0.47978,1.05224,0.98153,0.94433,0.97303,0.69407,1.07317,0.42777,1.05349,0.0008912,0.0008912,0.0008912
30,2265.17,1.05371,0.47013,1.04785,0.98003,0.9391,0.96828,0.70128,1.07324,0.42032,1.05091,0.0008516,0.0008516,0.0008516
31,2334.43,1.05418,0.46607,1.04898,0.98532,0.93713,0.96821,0.69384,1.07553,0.42835,1.05395,0.000812,0.000812,0.000812
32,2403.02,1.03833,0.46394,1.03772,0.98573,0.93941,0.96947,0.69761,1.07844,0.4249,1.05491,0.0007724,0.0007724,0.0007724
33,2471.86,1.03532,0.45617,1.03523,0.98375,0.9379,0.97303,0.701,1.06851,0.41307,1.05139,0.0007328,0.0007328,0.0007328
34,2540.76,1.04356,0.45897,1.04145,0.98103,0.94239,0.97042,0.70019,1.0588,0.41033,1.04277,0.0006932,0.0006932,0.0006932
35,2610.07,1.03419,0.45196,1.03731,0.98501,0.94305,0.97507,0.70991,1.05669,0.40667,1.04526,0.0006536,0.0006536,0.0006536
36,2679.22,1.02737,0.44687,1.03533,0.97782,0.94405,0.97327,0.71115,1.04877,0.40647,1.0437,0.000614,0.000614,0.000614
37,2749.24,1.02708,0.44397,1.02931,0.9843,0.94258,0.9743,0.71001,1.05474,0.40694,1.04162,0.0005744,0.0005744,0.0005744
38,2818.38,1.01657,0.43935,1.03092,0.98473,0.94123,0.97405,0.71034,1.05503,0.40447,1.04322,0.0005348,0.0005348,0.0005348
39,2888.32,1.00483,0.43231,1.02496,0.98153,0.9444,0.97526,0.70948,1.05823,0.39643,1.04229,0.0004952,0.0004952,0.0004952
40,2957.54,1.00714,0.43965,1.02662,0.98573,0.94383,0.97524,0.70722,1.05575,0.39625,1.0423,0.0004556,0.0004556,0.0004556
41,3027.84,1.0016,0.39519,1.03693,0.98754,0.93908,0.97118,0.70668,1.05131,0.40307,1.04369,0.000416,0.000416,0.000416
42,3096.36,0.99104,0.38746,1.03019,0.98375,0.93754,0.97063,0.70937,1.05801,0.40928,1.0464,0.0003764,0.0003764,0.0003764
43,3164.56,0.98601,0.3808,1.02875,0.98367,0.94123,0.97295,0.70978,1.06,0.4025,1.0439,0.0003368,0.0003368,0.0003368
44,3233.28,0.98464,0.3766,1.02375,0.9861,0.93704,0.96978,0.70781,1.05585,0.39982,1.0438,0.0002972,0.0002972,0.0002972
45,3301.25,0.97192,0.37112,1.01975,0.98309,0.94533,0.9728,0.71334,1.04948,0.39773,1.03995,0.0002576,0.0002576,0.0002576
46,3368.89,0.9701,0.36948,1.01958,0.98244,0.94317,0.97131,0.71223,1.04432,0.39344,1.03942,0.000218,0.000218,0.000218
47,3437.93,0.96165,0.36423,1.01679,0.9832,0.94351,0.97247,0.71591,1.0459,0.39279,1.03889,0.0001784,0.0001784,0.0001784
48,3507,0.96229,0.3599,1.0161,0.98243,0.94265,0.9724,0.71527,1.04089,0.38831,1.03742,0.0001388,0.0001388,0.0001388
49,3575.51,0.94934,0.35705,1.01292,0.98662,0.94076,0.97265,0.71455,1.04223,0.38933,1.03977,9.92e-05,9.92e-05,9.92e-05
50,3643.96,0.94504,0.35072,1.01344,0.98546,0.94214,0.97349,0.71422,1.04425,0.38812,1.03964,5.96e-05,5.96e-05,5.96e-05
